ID,Project,Department name,Department code,Owner,Close date,Usage Date,Wallclock,Units,Rate,Cost,Account
1151,,eddy,093203,jungs,10-31-2006,10-27-2006,20048520,5569,0.11,612.59,51612
1152,,eddy,093203,jungs,10-31-2006,10-28-2006,17468451,4852,0.11,533.76,51612
1153,,eddy,093203,jungs,10-31-2006,10-29-2006,10084786,2801,0.11,308.15,51612
1154,,eddy,093203,jungs,10-31-2006,10-30-2006,7558665,2100,0.11,230.96,51612
1155,,eddy,093203,jungs,10-31-2006,10-31-2006,6504518,1807,0.11,198.75,51612
1156,,eddy,093203,nawrockie,10-31-2006,10-02-2006,263193,73,0.11,8.04,51612
1157,,eddy,093203,nawrockie,10-31-2006,10-03-2006,4001475,1112,0.11,122.27,51612
1158,,eddy,093203,nawrockie,10-31-2006,10-04-2006,8171642,2270,0.11,249.69,51612
1159,,eddy,093203,nawrockie,10-31-2006,10-05-2006,12941840,3595,0.11,395.45,51612
1160,,eddy,093203,nawrockie,10-31-2006,10-06-2006,15357023,4266,0.11,469.24,51612
1161,,eddy,093203,nawrockie,10-31-2006,10-07-2006,7832282,2176,0.11,239.32,51612
1162,,eddy,093203,nawrockie,10-31-2006,10-08-2006,6299047,1750,0.11,192.47,51612
1163,,eddy,093203,nawrockie,10-31-2006,10-09-2006,1760378,489,0.11,53.79,51612
1164,,eddy,093203,nawrockie,10-31-2006,10-10-2006,2263847,629,0.11,69.17,51612
1165,,eddy,093203,nawrockie,10-31-2006,10-11-2006,4923560,1368,0.11,150.44,51612
1166,,eddy,093203,nawrockie,10-31-2006,10-13-2006,3227261,896,0.11,98.61,51612
1167,,eddy,093203,nawrockie,10-31-2006,10-20-2006,90087,25,0.11,2.75,51612
1168,,eddy,093203,nawrockie,10-31-2006,10-25-2006,1228,0,0.11,0.04,51612
1169,,eddy,093203,nawrockie,10-31-2006,10-29-2006,236,0,0.11,0.01,51612
1170,,eddy,093203,nawrockie,10-31-2006,10-31-2006,41802,12,0.11,1.28,51612
1171,,eddy,093203,rivase,10-31-2006,10-13-2006,0,0,0.11,0.00,51612
1172,,eddy,093203,rivase,10-31-2006,10-14-2006,647756,180,0.11,19.79,51612
1173,,eddy,093203,rivase,10-31-2006,10-15-2006,590939,164,0.11,18.06,51612
1174,,eddy,093203,rivase,10-31-2006,10-16-2006,2164443,601,0.11,66.14,51612
1175,,eddy,093203,rivase,10-31-2006,10-17-2006,1025938,285,0.11,31.35,51612
1176,,eddy,093203,rivase,10-31-2006,10-18-2006,1304486,362,0.11,39.86,51612
1177,,eddy,093203,rivase,10-31-2006,10-19-2006,2005775,557,0.11,61.29,51612
1178,,eddy,093203,rivase,10-31-2006,10-20-2006,2051145,570,0.11,62.67,51612
1179,,eddy,093203,rivase,10-31-2006,10-21-2006,1718599,477,0.11,52.51,51612
1180,,eddy,093203,rivase,10-31-2006,10-22-2006,1496788,416,0.11,45.73,51612
1181,,eddy,093203,rivase,10-31-2006,10-23-2006,1173139,326,0.11,35.85,51612
