ID,Project,Department name,Department code,Close date,Subject,Units,Rate,Cost,Account
78,,simpson,093210,02-01-2008,Primary storage (TB),2.0,624,1248.00,51610
79,,simpson,093210,02-01-2008,Servers,1.0,50,50.00,51615
80,,truman,093212,02-01-2008,Primary storage (TB),1.0,624,624.00,51610
81,,rubin,093205,02-01-2008,Primary storage (TB),5.5,624,3432.00,51610
82,,rubin,093205,02-01-2008,Secondary storage (TB),1.0,180,180.00,51610
83,,rubin,093205,02-01-2008,Servers,1.0,50,50.00,51615
84,,peng,093309,02-01-2008,Primary storage (TB),1.0,624,624.00,51610
85,,peng,093309,02-01-2008,Servers,1.0,50,50.00,51615
86,,svoboda,093204,02-01-2008,Primary storage (TB),1.0,624,624.00,51610
87,,svoboda,093204,02-01-2008,Servers,1.0,50,50.00,51615
88,,eddy,093203,03-01-2008,Direct Attached storage (TB),1.2,1850,2220.00,51610
89,,eddy,093203,03-01-2008,Secondary storage (TB),2.0,180,360.00,51610
90,,eddy,093203,03-01-2008,Servers,16.0,50,800.00,51615
91,,myers,093201,03-01-2008,Primary storage (TB),1.0,624,624.00,51610
92,,myers,093201,03-01-2008,Servers,1.0,50,50.00,51615
93,,betzig,093202,03-01-2008,Primary storage (TB),3.0,624,1872.00,51610
94,,betzig,093202,03-01-2008,Secondary storage (TB),1.0,180,180.00,51610
95,,karpova,093211,03-01-2008,Primary storage (TB),1.0,624,624.00,51610
96,,harris,093298,03-01-2008,Primary storage (TB),4.0,624,2496.00,51610
97,,harris,093298,03-01-2008,Servers,1.0,50,50.00,51615
98,,sternson,093206,03-01-2008,Servers,1.0,50,50.00,51615
99,,looger,093209,03-01-2008,Servers,1.0,50,50.00,51615
100,,simpson,093210,03-01-2008,Secondary storage (TB),8.0,180,1440.00,51610
101,,simpson,093210,03-01-2008,Servers,1.0,50,50.00,51615
102,,truman,093212,03-01-2008,Primary storage (TB),1.0,624,624.00,51610
103,,truman,093212,03-01-2008,Servers,1.0,50,50.00,51615
104,,rubin,093205,03-01-2008,Primary storage (TB),6.5,624,4056.00,51610
105,,rubin,093205,03-01-2008,Secondary storage (TB),1.0,180,180.00,51610
106,,rubin,093205,03-01-2008,Servers,3.0,50,150.00,51615
107,,peng,093309,03-01-2008,Primary storage (TB),2.0,624,1248.00,51610
108,,peng,093309,03-01-2008,Secondary storage (TB),2.0,180,360.00,51610
109,,peng,093309,03-01-2008,Servers,1.0,50,50.00,51615
110,,svoboda,093204,03-01-2008,Primary storage (TB),1.0,624,624.00,51610
111,,svoboda,093204,03-01-2008,Servers,1.0,50,50.00,51615
112,,eddy,093203,04-01-2008,Direct Attached storage (TB),0.6,1850,1110.00,51610
113,,eddy,093203,04-01-2008,Primary storage (TB),0.5,624,312.00,51610
114,,eddy,093203,04-01-2008,Secondary storage (TB),1.6,180,288.00,51610
115,,eddy,093203,04-01-2008,Servers,18.0,50,900.00,51615
116,,myers,093201,04-01-2008,Primary storage (TB),1.0,624,624.00,51610
117,,myers,093201,04-01-2008,Servers,1.0,50,50.00,51615
118,,betzig,093202,04-01-2008,Primary storage (TB),3.0,624,1872.00,51610
119,,betzig,093202,04-01-2008,Secondary storage (TB),1.0,180,180.00,51610
120,,karpova,093211,04-01-2008,Primary storage (TB),1.0,624,624.00,51610
121,,harris,093298,04-01-2008,Primary storage (TB),2.5,624,1560.00,51610
122,,harris,093298,04-01-2008,Secondary storage (TB),1.0,180,180.00,51610
123,,harris,093298,04-01-2008,Servers,1.0,50,50.00,51615
124,,sternson,093206,04-01-2008,Servers,1.0,50,50.00,51615
125,,looger,093209,04-01-2008,Servers,1.0,50,50.00,51615
126,,simpson,093210,04-01-2008,Secondary storage (TB),8.0,180,1440.00,51610
127,,simpson,093210,04-01-2008,Servers,1.0,50,50.00,51615
128,,truman,093212,04-01-2008,Primary storage (TB),1.5,624,936.00,51610
129,,truman,093212,04-01-2008,Servers,1.0,50,50.00,51615
130,,rubin,093205,04-01-2008,Primary storage (TB),7.5,624,4680.00,51610
131,,rubin,093205,04-01-2008,Secondary storage (TB),1.0,180,180.00,51610
132,,rubin,093205,04-01-2008,Servers,3.0,50,150.00,51615
133,,peng,093309,04-01-2008,Primary storage (TB),2.0,624,1248.00,51610
134,,peng,093309,04-01-2008,Secondary storage (TB),2.0,180,360.00,51610
135,,peng,093309,04-01-2008,Servers,1.0,50,50.00,51615
136,,svoboda,093204,04-01-2008,Primary storage (TB),1.5,624,936.00,51610
137,,svoboda,093204,04-01-2008,Servers,1.0,50,50.00,51615
138,,eddy,093203,05-01-2008,Direct Attached storage (TB),0.6,1850,1110.00,51610
139,,eddy,093203,05-01-2008,Primary storage (TB),0.5,624,312.00,51610
140,,eddy,093203,05-01-2008,Secondary storage (TB),1.6,180,288.00,51610
141,,eddy,093203,05-01-2008,Servers,18.0,50,900.00,51615
142,,myers,093201,05-01-2008,Primary storage (TB),1.0,624,624.00,51610
143,,myers,093201,05-01-2008,Servers,1.0,50,50.00,51615
144,,betzig,093202,05-01-2008,Primary storage (TB),3.0,624,1872.00,51610
145,,betzig,093202,05-01-2008,Secondary storage (TB),1.0,180,180.00,51610
146,,karpova,093211,05-01-2008,Primary storage (TB),1.0,624,624.00,51610
147,,harris,093298,05-01-2008,Primary storage (TB),3.0,624,1872.00,51610
148,,harris,093298,05-01-2008,Secondary storage (TB),2.0,180,360.00,51610
149,,harris,093298,05-01-2008,Servers,1.0,50,50.00,51615
150,,sternson,093206,05-01-2008,Servers,1.0,50,50.00,51615
151,,looger,093209,05-01-2008,Servers,1.0,50,50.00,51615
152,,simpson,093210,05-01-2008,Secondary storage (TB),8.0,180,1440.00,51610
153,,simpson,093210,05-01-2008,Servers,1.0,50,50.00,51615
154,,truman,093212,05-01-2008,Primary storage (TB),2.0,624,1248.00,51610
155,,truman,093212,05-01-2008,Servers,1.0,50,50.00,51615
156,,rubin,093205,05-01-2008,Primary storage (TB),7.5,624,4680.00,51610
157,,rubin,093205,05-01-2008,Secondary storage (TB),1.0,180,180.00,51610
158,,rubin,093205,05-01-2008,Servers,3.0,50,150.00,51615
159,,peng,093309,05-01-2008,Primary storage (TB),2.0,624,1248.00,51610
160,,peng,093309,05-01-2008,Secondary storage (TB),2.0,180,360.00,51610
